Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","Buzzer","Buzzer_12x9.5RM7.6",176.860000,-64.420000,0.000000,top
"C1","0.1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.335000,-71.960000,180.000000,top
"C2","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.335000,-68.950000,180.000000,top
"C3","680uf","CP_Elec_6.3x7.7",190.260000,-94.820000,0.000000,top
"C4","470uf","CP_Elec_10x10.5",70.350000,-98.550000,180.000000,top
"C5","0.1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",107.060000,-91.020000,90.000000,top
"C6","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",103.260000,-91.020000,90.000000,top
"C7","0.1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",89.260000,-90.457500,90.000000,top
"C8","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.060000,-90.457500,90.000000,top
"C9","0.1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",139.372500,-71.950000,180.000000,top
"C10","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",139.335000,-68.950000,180.000000,top
"C11","0.1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",69.860000,-90.620000,90.000000,top
"C12","0.1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",184.697500,-86.610000,180.000000,top
"C13","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",184.697500,-84.010000,180.000000,top
"C14","0.1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",119.460000,-90.982500,90.000000,top
"C15","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",123.697500,-90.020000,180.000000,top
"C16","0.1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",189.860000,-61.907500,-90.000000,top
"C17","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",192.822500,-61.870000,-90.000000,top
"C18","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",66.460000,-90.620000,90.000000,top
"C19","0.1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",139.860000,-108.057500,-90.000000,top
"C20","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",132.422500,-107.020000,180.000000,top
"C21","0.1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",111.660000,-106.257500,-90.000000,top
"C22","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",116.060000,-106.257500,-90.000000,top
"C23","0.1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",92.260000,-106.220000,-90.000000,top
"C24","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",96.660000,-106.220000,-90.000000,top
"C25","0.1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",73.860000,-106.020000,-90.000000,top
"C26","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",77.260000,-106.020000,-90.000000,top
"C27","0.1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.297500,-65.620000,180.000000,top
"C28","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.222500,-60.620000,180.000000,top
"C29","10nf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",188.722500,-103.457500,0.000000,top
"C30","0.1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",188.722500,-106.457500,0.000000,top
"C31","12uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",188.722500,-112.057500,0.000000,top
"C32","4.8nf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",182.960000,-113.057500,-90.000000,top
"C33","12uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",176.360000,-106.320000,90.000000,top
"D1","SS54","D_SMA",184.200000,-127.200000,-90.000000,top
"D2","SS54","D_SMA",190.860000,-122.020000,-90.000000,top
"D3","SS54","D_SMA",138.260000,-78.220000,-90.000000,top
"D4","SS54","D_SMA",113.060000,-91.220000,0.000000,top
"D5","SS54","D_SMA",95.260000,-90.620000,0.000000,top
"D6","SS54","D_SMA",76.660000,-90.620000,0.000000,top
"D7","SS54","D_SMA",139.860000,-114.620000,-90.000000,top
"D8","SS54","D_SMA",104.860000,-106.220000,180.000000,top
"D9","SS54","D_SMA",86.660000,-106.220000,180.000000,top
"D10","SS54","D_SMA",67.860000,-106.220000,180.000000,top
"D12","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",197.935000,-94.820000,180.000000,top
"J1","Conn_01x02_Socket","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",198.260000,-108.820000,90.000000,top
"J2","Conn_01x03_Socket","TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm",132.460000,-61.720000,180.000000,top
"J3","Conn_01x02_Socket","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",197.910000,-76.610000,-90.000000,top
"J4","Conn_01x03_Socket","TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm",114.126667,-61.620000,180.000000,top
"J5","Conn_01x03_Socket","TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm",95.793333,-61.620000,180.000000,top
"J6","Conn_01x03_Socket","TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm",77.460000,-61.420000,180.000000,top
"J7","Conn_01x03_Socket","TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm",123.060000,-135.620000,0.000000,top
"J8","Conn_01x03_Socket","TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm",104.726667,-135.420000,0.000000,top
"J9","Conn_01x03_Socket","TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm",86.393333,-135.470000,0.000000,top
"J10","Conn_01x03_Socket","TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm",68.060000,-135.420000,0.000000,top
"J11","Conn_01x04_Socket","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",165.460000,-133.170000,0.000000,top
"J12","Conn_01x04_Socket","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",177.860000,-133.170000,0.000000,top
"J13","Conn_01x04_Socket","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",140.260000,-133.170000,0.000000,top
"J14","Conn_01x04_Socket","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",152.860000,-133.170000,0.000000,top
"J15","Conn_01x02_Socket","JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal",189.950000,-133.150000,0.000000,top
